"","seVa_1","seVa_2","seVa_3","seVa_4","seVa_5","seVa_6"
"1",NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,0.5064416,NA
"8",NA,NA,NA,NA,-0.064032,NA
"9",-0.56592346,NA,NA,NA,-0.6654176,NA
"10",-0.7782373,0.5839424,0.265789,0.5839424,-0.0814752000000001,NA
"11",-0.2561639,0.00139839999999991,-0.316755,0.00139839999999991,0.5010688,NA
"12",0.3177321,0.5752944,0.257141,0.5752944,-0.0728272000000001,NA
"13",0.3177321,0.0153694199999999,-0.3117502,0.00640319999999994,-0.6417184,NA
"14",-0.2552071,-0.55756978,-0.3117502,0.0854937199999998,-0.6261494,NA
"15",0.3082009,0.00583821999999989,0.2516578,0.64890172,-0.0627414000000001,NA
"16",0.3082009,0.0122843799999999,-0.3131486,0.58628188,NA,0.33412596
"17",0.3082009,NA,0.2515842,0.0217025399999998,NA,0.33412596
"18",0.3082009,NA,0.2515842,NA,NA,0.33412596
"19",-0.0323647900000003,NA,-0.00666854999999955,NA,NA,0.33412596
"20",NA,NA,NA,NA,NA,0.33412596
"21",NA,NA,NA,NA,NA,-0.0174686000000004
"22",NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA
