"","seVa_1","seVa_2","seVa_3","seVa_4","seVa_5","seVa_6"
"1",NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,-0.4554368,NA
"8",NA,NA,NA,NA,-0.3123456,NA
"9",-0.4657776,NA,NA,NA,0.153432,NA
"10",-0.19308658,0.1402912,-0.2511463,0.4609568,0.6143888,NA
"11",0.26713422,0.600512,0.2090745,0.52448728,0.6143888,NA
"12",0.26713422,0.600512,0.2090745,0.52448728,0.6143888,NA
"13",-0.14594028,0.472757,-0.14099925,0.32058028,0.6143888,NA
"14",-0.60833228,0.010365,-0.60339125,-0.14181172,0.1519968,NA
"15",-0.60833228,-0.4467646,-0.60339125,-0.59894132,0.0252924,NA
"16",-0.20798806,-4.94000000000328e-05,-0.2641062,-0.45072413,NA,-0.18244917
"17",0.23534154,NA,0.1792234,-0.00739453000000018,NA,0.26088043
"18",0.23534154,NA,0.1792234,NA,NA,0.26088043
"19",-0.0207941000000003,NA,-0.0150055999999999,NA,NA,0.26088043
"20",NA,NA,NA,NA,NA,0.26088043
"21",NA,NA,NA,NA,NA,-0.0205946100000003
"22",NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA
