"","seVa_1","seVa_2","seVa_3","seVa_4","seVa_5","seVa_6"
"1",NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,-0.13448895,NA
"8",NA,NA,NA,NA,-0.54919511,NA
"9",-0.4242304,NA,NA,NA,-0.12496471,NA
"10",-0.00095679999999998,0.1288224,-0.4232736,0.0584301599999999,0.29830889,NA
"11",-0.12840329,0.5472016,-0.5506064,0.47680936,0.55297449,NA
"12",-0.54104169,0.5472016,-0.137968,0.29426172,0.14033609,NA
"13",-0.54104169,0.4332574,-0.5490608,-0.11683108,-0.27075671,NA
"14",-0.54104169,0.0247038,-0.1405072,-0.52538468,-0.38399711,NA
"15",-0.24597772,-0.3791026,-0.5443136,-0.52538468,0.0198092899999998,NA
"16",-0.52716645,0.00571500000000003,-0.5443136,-0.39770471,NA,-0.3848176
"17",-0.52716645,NA,-0.5443136,-0.0158679100000002,NA,-0.50113256
"18",-0.40084179,NA,-0.4180924,NA,NA,-0.15992148
"19",-0.0206977900000002,NA,-0.0379483999999999,NA,NA,0.22022252
"20",NA,NA,NA,NA,NA,0.22022252
"21",NA,NA,NA,NA,NA,-0.0108229600000002
"22",NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA
