"","seVa_1","seVa_2","seVa_3","seVa_4","seVa_5","seVa_6"
"1",NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,0.3486432,NA
"8",NA,NA,NA,NA,0.4625584,NA
"9",0.22403507,NA,NA,NA,0.4625584,NA
"10",-0.15883213,-0.2663424,-0.2086002,0.3828672,0.0796912000000001,NA
"11",-0.15883213,0.1012896,0.1590318,0.4336164,0.4473232,NA
"12",0.22116467,0.4812864,0.1590318,0.4336164,0.4473232,NA
"13",0.22116467,0.4812864,0.1590318,0.4336164,0.4473232,NA
"14",0.22116467,0.4812864,0.1590318,0.4336164,0.339856,NA
"15",-0.13333735,0.0857232000000001,-0.2365314,0.0380531999999999,-0.0557072,NA
"16",-0.52875335,-0.0238758,-0.14143815,-0.3573628,NA,-0.395416
"17",-0.52875335,NA,-0.53350535,-0.00865738000000016,NA,-0.51484734
"18",-0.39892442,NA,-0.40378275,NA,NA,-0.51484734
"19",-0.0210252200000002,NA,-0.0258835499999999,NA,NA,-0.17617572
"20",NA,NA,NA,NA,NA,0.20128188
"21",NA,NA,NA,NA,NA,-0.0123998800000003
"22",NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA
