"","horacoche","coche1_vector","coche2_vector","coche3_vector","coche4_vector","coche5_vector","coche6_vector"
"1",1,,,,,,
"2",2,,,,,,
"3",3,,,,,,
"4",4,,,,,,
"5",5,,,,,,
"6",6,,,,,15.625,
"7",7,,,,,11.945,
"8",8,21.823,,,,8.392,
"9",9,18.143,10.6,22.325,19.812,12.072,
"10",10,20.32,14.28,20.32,20.32,15.752,
"11",11,24,17.96,24,24,19.432,
"12",12,20.32,21.64,24,24,15.752,
"13",13,16.64,21.68,24,24,18,
"14",14,12.96,18,24,20.32,14.32,
"15",15,9.28,21.68,20.32,19.812,18,21.823
"16",16,12.96,18,16.64,16.132,,20.32
"17",17,14.463,,14.965,19.812,,16.64
"18",18,18.143,,18.645,,,20.32
"19",19,21.823,,22.325,,,24
"20",20,,,,,,24
"21",21,,,,,,21.823
"22",22,,,,,,
"23",23,,,,,,
"24",24,,,,,,
