"","horacoche","coche1_vector","coche2_vector","coche3_vector","coche4_vector","coche5_vector","coche6_vector"
"1",1,,,,,,
"2",2,,,,,,
"3",3,,,,,,
"4",4,,,,,,
"5",5,,,,,,
"6",6,,,,,15.625,
"7",7,,,,,11.945,
"8",8,21.823,,,,8.392,
"9",9,20.32,10.6,22.325,19.812,8.265,
"10",10,24,14.28,18.645,23.492,11.945,
"11",11,24,17.96,22.325,19.812,15.625,
"12",12,24,21.64,18.645,16.132,11.945,
"13",13,20.32,17.96,14.965,12.453,15.625,
"14",14,16.64,14.28,18.645,16.132,11.945,
"15",15,12.96,14.28,22.325,19.812,15.625,21.823
"16",16,16.64,10.6,18.645,16.132,,18.143
"17",17,14.463,,14.965,19.812,,16.64
"18",18,18.143,,18.645,,,20.32
"19",19,21.823,,22.325,,,24
"20",20,,,,,,24
"21",21,,,,,,21.823
"22",22,,,,,,
"23",23,,,,,,
"24",24,,,,,,
