"","invierno_vector","primavera_vector","verano_vector","otoño_vector"
"1",2.408,1.795,1.748,1.885
"2",2.344,1.775,1.579,1.841
"3",2.245,1.68,1.556,1.774
"4",2.242,1.691,1.506,1.744
"5",2.261,1.675,1.498,1.771
"6",2.299,1.684,1.475,1.826
"7",3.031,2.201,1.84,2.55
"8",9.736,3.421,4.769,2.25
"9",5.974,6.283,29.995,5.028
"10",10.816,7.682,9.521,7.891
"11",11.841,8.172,44.955,8.726
"12",11.428,8.255,37.359,26.106
"13",23.002,8.15,23.288,1e-06
"14",1e-06,8.092,15.698,1e-06
"15",45.589,7.198,1e-06,7.361
"16",1e-06,6.983,12.983,9.005
"17",21.226,7.247,24.19,29.992
"18",0.021,7.488,25.098,1e-06
"19",3.39,10.882,23.381,1e-06
"20",6.099,2.268,24.528,3.201
"21",1.102,0.538,6.489,0.967
"22",3.143,2.104,1.529,3.101
"23",2.954,2.004,2.145,2.155
"24",2.619,1.82,1.876,1.866
