"","invierno_vector","primavera_vector","verano_vector","otoño_vector"
"1",2.408,1.795,1.748,1.885
"2",2.344,1.775,1.579,1.841
"3",2.245,1.68,1.556,1.774
"4",2.242,1.691,1.506,1.744
"5",2.261,1.675,1.498,1.771
"6",2.299,1.684,1.475,1.826
"7",3.031,2.201,1.84,2.55
"8",9.736,3.421,4.769,2.25
"9",5.974,6.283,29.995,5.028
"10",10.816,7.682,8.748,7.891
"11",11.622,8.015,44.955,8.553
"12",10.854,7.842,37.289,23.877
"13",20.543,7.739,21.764,1e-06
"14",1e-06,6.925,14.434,1e-06
"15",44.882,6.247,1e-06,6.285
"16",1e-06,5.621,12.544,6.69
"17",14.675,5.536,22.601,27.411
"18",1e-06,6.734,23.931,1e-06
"19",3.39,10.502,22.845,1e-06
"20",5.842,2.107,24.528,3.001
"21",1.102,0.538,6.489,0.967
"22",3.143,2.104,1.529,3.101
"23",2.954,2.004,2.145,2.155
"24",2.619,1.82,1.876,1.866
