"c(rep(""invierno"", 4), rep(""primavera"", 4), rep(""verano"", 4), "	"rep(c(""8:00"", ""9:00"", ""11:00"", ""15:00""), 4)"	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22																				
		11	12	13	14	15	16	17	18	19	20	21	22																				
invierno	8:00	18	18	18	17.976	17.971	17.963	17.963	17.884	17.659	17.479	17.378	17.299																				
invierno	9:00	0	18	18	17.976	17.971	17.963	17.963	17.884	17.659	17.479	17.378	17.299					Invierno	Invierno	Invierno	Invierno	Primavera	Primavera	Primavera	Primavera	Verano	Verano	Verano	Verano	Otoño	Otoño	Otoño	Otoño
invierno	11:00	0	0	0	17.976	17.971	17.963	17.963	17.884	17.659	17.479	17.378	17.299					8:00	9:00	11:00	15:00	8:00	9:00	11:00	15:00	8:00	9:00	11:00	15:00	8:00	9:00	11:00	15:00
invierno	15:00	0	0	0	0	0	0	0	17.919	17.699	17.514	17.418	17.334				11:00	18	0	0	0	18	0	0	0	17.958	0	0	0	18	0	0	0
primavera	8:00	18	18	18	18	18	18	18	18	18	17.958	17.695	17.396				12:00	18	18	0	0	18	18	0	0	17.84	17.879	0	0	18	18	0	0
primavera	9:00	0	18	18	18	18	18	18	18	18	17.958	17.695	17.396				13:00	18	18	0	0	18	18	0	0	17.813	17.857	0	0	17.985	17.985	0	0
primavera	11:00	0	0	0	18	18	18	18	18	18	17.958	17.695	17.396				14:00	17.976	17.976	17.976	0	18	18	18	0	17.747	17.791	17.927	0	17.971	17.971	17.976	0
primavera	15:00	0	0	0	0	0	0	0	18	18	17.958	17.695	17.396				15:00	17.971	17.971	17.971	0	18	18	18	0	17.642	17.681	17.818	0	17.971	17.971	17.976	0
verano	8:00	17.958	17.84	17.813	17.747	17.642	17.594	17.594	17.589	17.576	17.576	17.563	17.369				16:00	17.963	17.963	17.963	0	18	18	18	0	17.594	17.637	17.774	0	17.971	17.971	17.971	0
verano	9:00	0	17.879	17.857	17.791	17.681	17.637	17.633	17.633	17.62	17.615	17.607	17.413				17:00	17.963	17.963	17.963	0	18	18	18	0	17.594	17.633	17.769	0	17.971	17.971	17.971	0
verano	11:00	0	0	0	17.927	17.818	17.774	17.769	17.769	17.76	17.76	17.752	17.558				18:00	17.884	17.884	17.884	17.919	18	18	18	18	17.589	17.633	17.769	18	17.919	17.919	17.923	17.949
verano	15:00	0	0	0	0	0	0	0	18	18	18	17.989	17.804				19:00	17.659	17.659	17.659	17.699	18	18	18	18	17.576	17.62	17.76	18	17.87	17.87	17.87	17.897
oto?	8:00	18	18	17.985	17.971	17.971	17.971	17.971	17.919	17.87	17.655	17.356	17.33				20:00	17.479	17.479	17.479	17.514	17.958	17.958	17.958	17.958	17.576	17.615	17.76	18	17.655	17.655	17.659	17.686
oto?	9:00	0	18	17.985	17.971	17.971	17.971	17.971	17.919	17.87	17.655	17.356	17.33				21:00	17.378	17.378	17.378	17.418	17.695	17.695	17.695	17.695	17.563	17.607	17.752	17.989	17.356	17.356	17.361	17.387
oto?	11:00	0	0	0	17.976	17.976	17.971	17.971	17.923	17.87	17.659	17.361	17.334				22:00	17.299	17.299	17.299	17.334	17.396	17.396	17.396	17.396	17.369	17.413	17.558	17.804	17.33	17.33	17.334	17.361
oto?	15:00	0	0	0	0	0	0	0	17.949	17.897	17.686	17.387	17.361																				
